,,,,,,,
,connected?,???????????? ?????,????? ????????????? ?????,????? ?? (stm32f10xxx),????????? ??????,????? ?????? / ???????,????????
,,Wifi ?????? (ESP-07S),GPIO3 (RXD0),PA9 (TX),USART1,"Fullduplex, async",
,,,GPIO1 (TXD0),PA10 (RX),USART1,"STM32 (RX), ESP (TX)",
,+,OLED,SCK,PB6 (SCL),I2C1,"Master Mode, 400 kHz",
,,,SDA,PB7 (SDA),,,
,+,TC Amplifier & ADC Stage (ADS1115 + MCP6001),"SCL
(ADS1115 pin 10)",PB6 (SCL),I2C1,"Master Mode, 400 kHz",
,,,"SDA
(ADS115 pin 9)",PB7 (SDA),,,
,,,"RDY 
(ADS1115 pin 2)",PB5,GPIO (EXTI5),Input,???????????: ???? ??????
,+,Soldering Iron encoder,S1,PA0,TIM2,Hardware Encoder Mode ,
,,,S2,PA1,,,
,,,Key,PB12,GPIO / EXTI12 ,Input,???????????: ??????????? ??????
,+,Air heater encoder,S1,PB8,TIM4,Hardware Encoder Mode ,
,,,S2,PB9,,,
,,,Key,PB13,GPIO / EXTI13 ,Input ,???????????: ??????????? ??????
,+,Safety Relay,START_SENSE,PB14,GPIO / EXTI14,Input ,???????????: ?????? ??? ?????? ????
,,,RELAY_CTRL,PB15,GPIO,Output ,?????????/Kill-switch
,+,Buzzer,BUZZ,PB0,TIM3,Hardware PWM,????????? ???????? ???????? 
,+,Heater High side switch,IRON_CTRL,PA8,TIM1,Hardware PWM,??????????? ?????????? T12 
,+,Air heater,COIL_CTRL,PB11,GPIO,Soft PWM,????????? ????????? ??????????
,,,AIR_CTRL,PA11,TIM1,Hardware PWM,??????????? ??????? ??????? 
,,Soldering Iron,SW_I,PA4,GPIO / EXTI4,Input Pull-up,???????????: ??????????? ??? ???? (Wake-on-motion)
,,Hot Air,SW_A,PA6,GPIO / EXTI6,Input Pull-up,???????????: ?????? ????????? (Auto-cool/Standby)
