Designator,Mid X,Mid Y,Rotation,Layer
BZ1,119.175,-60.45,90.0,bottom
C1,105.25,-73.25,270.0,top
C10,103.2,-60.5,0.0,bottom
C11,98.75,-89.75,270.0,bottom
C12,119.877226,-68.5,180.0,top
C13,114.0,-68.5,90.0,bottom
C14,118.5,-72.0,180.0,top
C15,142.155,-74.035,0.0,top
C16,84.935,-72.7,270.0,bottom
C17,84.5,-60.75,0.0,bottom
C18,97.0,-59.9,90.0,bottom
C19,94.5,-60.0,90.0,bottom
C2,110.43,-80.853096,90.0,bottom
C20,99.525,-73.07,180.0,bottom
C21,118.25,-74.0,0.0,bottom
C3,109.5,-95.909524,0.0,bottom
C4,132.0,-96.5,270.0,top
C5,132.5975,-88.0475,270.0,top
C6,141.905,-91.515,90.0,top
C7,134.155,-83.775,90.0,top
C8_2,108.05,-80.354524,270.0,bottom
C8,103.005,-92.905,270.0,bottom
C9,100.1,-68.8,180.0,bottom
D1,62.0,-96.0,0.0,top
D2,126.5,-95.0,0.0,bottom
D3,126.0,-101.77,270.0,bottom
D4,62.4,-132.0,180.0,bottom
D5,141.946371,-101.906371,270.0,top
D6,98.9,-54.975,180.0,bottom
D7,112.08738,-107.59,180.0,bottom
D8,112.08738,-103.27,180.0,bottom
GX12,132.0,-105.503696,0.0,bottom
GX16,61.0,-106.22673,0.0,bottom
J1,96.5,-111.0,270.0,bottom
J10,52.0,-132.0,270.0,top
J11,69.0,-138.27,0.0,top
J12,75.35,-54.19,270.0,bottom
J13,99.6,-136.0,90.0,top
J14,63.5,-128.0,180.0,top
J2,135.0,-60.08,180.0,top
J3,55.0,-60.08,0.0,top
J4,94.73,-48.0,270.0,top
J5,88.0,-126.5,180.0,top
J6,75.22,-58.19,270.0,bottom
J7,108.4,-48.25,90.0,bottom
J8,115.0,-114.5,0.0,bottom
J9,64.73,-70.65,90.0,bottom
JP1,73.0,-128.0,180.0,top
Q1,121.0,-100.54,270.0,bottom
Q2,118.35,-82.37,270.0,bottom
Q3,59.47,-138.35,180.0,bottom
Q4,65.695,-88.925,0.0,bottom
Q5,110.07,-63.1,180.0,bottom
Q7,74.75,-109.21,90.0,bottom
R1,88.0,-82.0,270.0,top
R10,122.19,-91.0,180.0,top
R11,74.5,-64.5,270.0,bottom
R12,70.5,-71.0,180.0,bottom
R13,94.425,-50.76,0.0,bottom
R14,87.5,-48.0,180.0,bottom
R15,70.0,-63.78,0.0,bottom
R16,122.19,-86.25,180.0,top
R17,131.62,-59.97,180.0,bottom
R18,131.63,-56.98,180.0,bottom
R19,91.23,-76.5,180.0,bottom
R2,70.9,-85.85,270.0,top
R20,52.625,-89.475,90.0,top
R21,138.125,-99.75,0.0,top
R22,140.875,-81.5,90.0,top
R23,138.125,-93.15,270.0,top
R24,138.875,-81.525,270.0,top
R25,135.125,-92.2,180.0,top
R26,132.125,-83.7,90.0,top
R27,131.625,-77.875,0.0,top
R28,131.625,-79.825,180.0,top
R29,131.63,-63.25,0.0,bottom
R3,68.2035,-85.825,270.0,top
R30,58.065,-57.25,180.0,bottom
R31,51.5,-60.0,180.0,bottom
R32,51.565,-63.03,180.0,bottom
R33,70.5,-68.0,180.0,bottom
R34,78.31,-82.53,270.0,bottom
R35,94.805,-73.49,180.0,bottom
R36,76.4,-51.4,180.0,bottom
R37,77.5,-51.0,0.0,top
R38,94.62738,-56.1,90.0,bottom
R39,108.0,-107.51,180.0,bottom
R4,90.0,-106.1,270.0,bottom
R40,108.0,-103.25,0.0,bottom
R41,76.75,-62.2,90.0,bottom
R42,79.875,-62.15,90.0,bottom
R5,83.0,-106.1,270.0,bottom
R6,88.325,-74.445,180.0,bottom
R7,107.4,-52.2,0.0,bottom
R8,55.175,-138.825,90.0,bottom
R9,73.0,-136.175,90.0,top
SW1,106.335,-73.26,270.0,bottom
SW2,88.0,-137.5,0.0,top
SW3,64.0,-138.27,0.0,top
U1,85.46,-89.81,270.0,top
U2,107.825,-87.788096,90.0,bottom
U4,126.517226,-72.1,0.0,bottom
U5,90.0,-66.69,270.0,bottom
U6,137.975,-87.4,0.0,top
U7,136.205,-74.8,270.0,top
Y1,99.5,-65.0,0.0,bottom
